[2021-11-07 09:27:11] app.INFO [N/A] [f878fee] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage"] [GET, /Admin/, 171.253.133.1, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-07 09:27:12] app.INFO [N/A] [8698daa] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage_sale"] [GET, /Admin/sale_chart, 171.253.133.1, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-07 15:41:26] app.INFO [N/A] [ce5f798] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_order"] [GET, /Admin/order, 116.102.39.64, http://cosmosmarket.vn/Admin/content/block/9/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:41:29] app.INFO [N/A] [5dfb68f] [N/A] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_login"] [POST, /Admin/login, 116.102.39.64, http://cosmosmarket.vn/Admin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:41:29] app.INFO [N/A] [a52eb6d] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_login"] [GET, /Admin/login, 116.102.39.64, http://cosmosmarket.vn/Admin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:41:34] app.INFO [N/A] [bb9daed] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_login"] [POST, /Admin/login, 116.102.39.64, http://cosmosmarket.vn/Admin/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:41:34] app.INFO [N/A] [f5dae97] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_order"] [GET, /Admin/order, 116.102.39.64, http://cosmosmarket.vn/Admin/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:20] app.INFO [N/A] [8b59ab2] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_order_new"] [GET, /Admin/order/new, 116.102.39.64, http://cosmosmarket.vn/Admin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:22] app.INFO [N/A] [1961abe] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_order"] [GET, /Admin/order, 116.102.39.64, http://cosmosmarket.vn/Admin/order/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:27] front.INFO [N/A] [39a6a7d] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [POST, /mypage/login, 116.102.39.64, http://cosmosmarket.vn/mypage/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:27] front.INFO [pbahaa5s332fvbo07puig08efp] [39a6a7d] [N/A] [Eccube\Log\Logger:log:66] - LOGIC END ["mypage_login"] [POST, /mypage/login, 116.102.39.64, http://cosmosmarket.vn/mypage/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:27] app.INFO [N/A] [39a6a7d] [N/A] [Eccube\Log\Logger:log:68] - PROCESS END ["mypage_login"] [POST, /mypage/login, 116.102.39.64, http://cosmosmarket.vn/mypage/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:27] front.INFO [N/A] [3e0e1fc] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /mypage/login, 116.102.39.64, http://cosmosmarket.vn/mypage/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-07 15:44:27] front.INFO [pbahaa5s332fvbo07puig08efp] [3e0e1fc] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["mypage_login"] [GET, /mypage/login, 116.102.39.64, http://cosmosmarket.vn/mypage/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
